"STR_ID","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Tree12","Tree13","Tree14","Tree15","Tree16","Tree17"
90681,1,0,0,0,0,0,25,0,0,0,0,0
90688,0,0,0,0,4,2,0,0,0,0,4,2
90689,0,0,0,3,16,11,0,0,0,4,18,11
90690,0,5,0,0,0,0,0,15,0,0,0,0
90691,3,1,1,1,14,7,3,4,1,1,14,7
90699,0,2,0,4,10,0,0,2,0,4,11,0
90702,0,0,1,1,0,2,0,0,1,1,0,3
90703,0,0,0,2,0,1,0,0,0,2,0,1
90704,0,0,9,9,9,1,0,0,10,10,9,1
90705,0,0,1,18,20,16,0,0,1,19,20,18
90706,0,0,0,32,25,0,0,0,0,50,25,0
90707,0,0,0,0,20,0,0,0,0,0,20,0
90717,0,0,0,1,0,1,0,0,0,1,0,1
90722,0,0,0,1,0,0,0,0,0,1,0,0
90736,0,0,0,2,0,0,0,0,0,3,0,0
90738,0,0,0,0,0,3,0,0,0,0,0,4
90739,0,0,0,2,53,21,0,0,0,2,55,22
90740,0,0,0,0,0,2,0,0,0,0,0,2
90742,0,0,0,0,0,1,0,0,0,0,0,1
90744,0,0,0,0,0,1,0,0,0,0,0,1
90755,0,0,4,0,0,2,0,0,4,0,0,2
90762,0,0,1,0,0,0,0,0,1,0,0,0
90763,0,0,0,0,1,0,0,0,0,0,1,0
90764,0,0,1,6,0,0,0,0,1,6,0,0
90765,0,0,1,19,12,37,0,0,1,27,14,44
90766,0,0,8,0,31,0,0,0,8,0,33,0
90767,0,13,6,44,0,0,0,15,6,46,0,0
90768,0,0,8,17,9,0,0,0,9,18,9,0
90769,0,0,2,1,9,0,0,0,2,1,9,0
90770,0,0,0,0,0,1,0,0,0,0,0,2
90773,0,0,5,2,6,1,0,0,5,3,6,2
90774,0,0,1,0,0,0,0,0,1,0,0,0
90776,0,5,0,0,0,0,0,29,0,0,0,0
90777,4,0,0,0,14,21,6,0,0,0,14,21
90779,0,0,0,0,2,2,0,0,0,0,2,2
90786,0,0,0,0,5,0,0,0,0,0,5,0
90791,0,0,0,3,0,0,0,0,0,4,0,0
90792,0,0,0,0,0,1,0,0,0,0,0,2
90794,0,0,0,0,0,1,0,0,0,0,0,1
90795,0,0,0,2,0,0,0,0,0,2,0,0
90796,0,0,0,3,0,0,0,0,0,5,0,0
90800,0,0,0,1,0,0,0,0,0,1,0,0
90801,0,0,0,13,15,0,0,0,0,16,19,0
90802,0,0,0,2,0,0,0,0,0,3,0,0
90803,0,0,0,5,4,0,0,0,0,6,5,0
90804,0,0,0,0,0,1,0,0,0,0,0,1
