STR,HLBct12,HLBct13,HLBct14,HLBct15,HLBct16,HLBct17,Treect12,Treect13,Treect14,Treect15,Treect16,Treect17,ACPct12,ACPct13,ACPct14,ACPct15,ACPct16,ACPct17,HLB_FRisk
92120,0.052939441,0,0,1.264937498,1.735195808,16.73530908,0.191074533,0.567942128,0.852700214,2.208261378,2.074246591,4.009408995,0,0.264459569,0.216401324,2.42260711,5.196562201,3.977536043,41.76958191
91731,0.026696055,0,0,1.74916942,2.594305605,9.53871237,0.096705752,0.311039805,0.428455395,3.008241094,2.863816082,6.352404104,0,0.060274275,0.112227119,2.371724935,6.436537865,5.802797415,41.75310729
93178,0,0,0,0,0,23.58637768,0.043110828,0,0.211533495,0.436138884,0.157569174,9.592826516,0,0,0.234655295,0.821995968,0.247901607,6.341331905,41.67344136
92114,0.212974551,0,0,2.318858379,0.784079443,5.803084276,0.865786719,2.029506572,3.340534129,1.053794402,3.558330959,4.428965935,0,0.158184112,0.886092048,3.056677501,9.693891517,2.212143892,40.40290444
93364,0,0,0,0,0,27.89268792,0.0206415,0,1.099149074,0.322516618,0.172057474,5.058931018,0,0,0.357335532,1.751896351,0.270517126,3.435767433,40.38150005
92925,0.024148517,0,0,0,0.186222393,23.03350114,0.092852584,0.240719171,0.400659496,0.225440775,0.364216219,8.630070962,0,0.035592983,0.165981103,1.407869094,0.684991045,4.645568392,40.13783387
92042,0.058613257,0,0,1.234391202,1.696684935,11.52971403,0.214820284,0.619483111,0.93902866,2.216102721,2.527470672,3.922192027,0,0.365777225,0.242960714,3.217004707,6.780061696,4.409889152,39.97419439
91963,0.049237074,0,0,1.412094658,1.989258955,10.61179702,0.180483405,0.524691593,0.788189723,2.588071064,3.17168429,4.442154612,0,0.344985257,0.207071801,2.756108567,6.529112253,4.320238216,39.91517849
92857,0.025461772,0,0,0,0.025549509,17.72677744,0.410950059,0.273862954,0.489915934,0.148181578,0.220449364,13.40617806,0,0.025107016,0.159553904,0.955400463,0.490722015,5.103052212,39.46116228
93410,0,0,0,0,0,28.78413734,0.016336583,0,0.393334629,0.504204826,0.195503928,4.214382613,0,0,0.420619088,1.69263713,0.275975041,2.947170755,39.44430193
92859,0.028017873,0,0,0,0.15628475,18.64199867,0.18002486,0.32158792,0.536620673,0.187067026,0.363753256,10.94796411,0,0.041433049,0.173241379,1.857911282,0.671408725,5.012612964,39.11992654
92921,0,0,0,0,0,19.79097045,0.578244608,0.018790132,0.080553938,0.160714776,0.232532947,10.87568255,0,0,0.089368487,0.695771349,0.397128709,6.16239434,39.08215229
91818,0,0,0,2.547985524,3.309298108,10.06525184,0,0.108242048,0,3.786364642,3.034646331,6.068507642,0,0.028463749,0.017688848,1.856038925,4.1958623,4.003563371,39.02191333
93122,0,0,0,0,0.31743234,26.50560827,0.019825074,0.01463935,0.127352935,0.214661921,0.625006155,5.271305383,0,0.115360833,0.075888361,1.654241647,0.948274174,3.052138308,38.94173475
92335,0.363284313,0,0,0.490131827,0.860352128,8.453622895,1.169665654,4.174205793,6.204252694,0.955544944,2.038228328,2.164714192,0,0.149831979,1.695546821,4.559282854,3.094330416,2.265439805,38.63843464
91640,0,0,0,1.9704686,2.83891592,8.790106852,0,0.136287281,0,3.825927078,2.916550913,6.243559092,0,0.034928962,0.01345173,1.928951597,5.762749841,3.765377045,38.22727491
92477,0.050415455,0,0,0.424323533,0.716772455,20.55807244,0.173022693,0.551087849,0.829625358,1.245363358,0.990235199,2.447189425,0,0.217268096,0.206626975,3.981248313,2.061401877,3.597694378,38.0503474
92340,0.081253031,0,0,0.577160526,0.786352501,18.71125991,0.283157889,0.872932035,1.329573024,1.205110453,1.122639459,2.54704736,0,0.144666782,0.334482357,3.483704782,3.186258662,3.198351538,37.86395031
